# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
2.000000000000000000e+02 -3.891499999999999994e-03 3.596600000000000144e-03 4.448099999999999971e-03 9.958500000000000130e-01 1.483300000000000070e-02 3.091800000000000104e-02 2.563199999999999854e-02 3.787900000000000295e-02
2.240000000000000000e+02 1.036599999999999966e+00 -3.515800000000000175e-02 -3.562300000000000189e-02 3.422200000000000242e-02 3.327900000000000302e-02 2.351599999999999871e-02 2.751299999999999926e-02 1.380800000000000083e-02
2.480000000000000000e+02 1.027900000000000036e+00 -4.353499999999999731e-02 3.316599999999999843e-03 1.236699999999999952e-02 3.510599999999999832e-02 2.278600000000000070e-02 2.937499999999999833e-02 1.294099999999999938e-02
2.720000000000000000e+02 9.917399999999999549e-01 5.685299999999999902e-03 1.942199999999999829e-02 -1.684499999999999886e-02 3.504399999999999876e-02 2.363799999999999929e-02 2.813399999999999929e-02 1.242300000000000001e-02
2.960000000000000000e+02 1.031099999999999905e+00 1.235400000000000040e-02 -3.536799999999999666e-02 -8.069500000000000284e-03 3.574700000000000100e-02 2.454599999999999838e-02 2.854800000000000046e-02 1.220300000000000031e-02
3.200000000000000000e+02 1.013800000000000034e+00 2.774499999999999883e-02 -2.972599999999999895e-02 -1.177699999999999927e-02 3.353899999999999937e-02 2.293800000000000006e-02 2.740599999999999981e-02 1.220300000000000031e-02
3.440000000000000000e+02 8.400699999999999834e-01 9.429400000000000281e-02 6.017299999999999732e-02 5.464700000000000286e-03 3.251500000000000223e-02 2.327999999999999861e-02 2.750000000000000014e-02 1.480399999999999945e-02
3.680000000000000000e+02 6.406699999999999617e-01 1.568900000000000017e-01 1.827300000000000035e-01 1.970200000000000076e-02 3.051600000000000146e-02 2.310299999999999854e-02 2.682800000000000115e-02 1.716099999999999917e-02
3.920000000000000000e+02 4.068499999999999894e-01 2.705500000000000127e-01 1.927500000000000047e-01 1.298499999999999932e-01 2.794400000000000009e-02 2.467899999999999955e-02 2.459000000000000075e-02 2.179499999999999840e-02
4.160000000000000000e+02 2.108200000000000074e-01 2.635899999999999910e-01 2.553500000000000214e-01 2.702300000000000257e-01 2.368699999999999972e-02 2.530400000000000010e-02 2.421699999999999894e-02 2.562899999999999900e-02
4.400000000000000000e+02 1.620699999999999918e-01 2.043399999999999939e-01 3.181999999999999829e-01 3.153900000000000037e-01 2.332299999999999998e-02 2.429100000000000009e-02 2.615999999999999923e-02 2.722600000000000020e-02
4.640000000000000000e+02 2.409799999999999998e-01 2.480199999999999905e-01 2.372100000000000042e-01 2.737800000000000233e-01 2.424300000000000066e-02 2.544700000000000087e-02 2.392999999999999988e-02 2.464999999999999830e-02
4.880000000000000000e+02 1.723600000000000132e-01 2.126699999999999979e-01 2.456599999999999895e-01 3.693100000000000271e-01 2.285399999999999932e-02 2.462800000000000059e-02 2.474099999999999910e-02 2.650100000000000025e-02
5.120000000000000000e+02 2.287500000000000089e-01 2.779599999999999849e-01 2.074900000000000078e-01 2.857999999999999985e-01 2.363000000000000170e-02 2.535700000000000107e-02 2.373400000000000162e-02 2.554700000000000026e-02
5.360000000000000000e+02 2.043800000000000061e-01 1.886400000000000021e-01 2.666799999999999726e-01 3.402899999999999814e-01 2.409000000000000030e-02 2.412299999999999861e-02 2.525399999999999867e-02 2.683100000000000068e-02
5.600000000000000000e+02 2.003600000000000103e-01 2.838200000000000167e-01 2.224200000000000066e-01 2.933999999999999941e-01 2.352299999999999877e-02 2.589400000000000035e-02 2.406099999999999905e-02 2.589899999999999841e-02
5.840000000000000000e+02 1.584099999999999953e-01 2.888499999999999956e-01 2.648599999999999843e-01 2.878899999999999793e-01 2.322899999999999965e-02 2.493499999999999883e-02 2.488599999999999840e-02 2.568900000000000003e-02
6.080000000000000000e+02 1.907000000000000084e-01 2.329900000000000027e-01 2.911400000000000099e-01 2.851699999999999791e-01 2.390099999999999864e-02 2.431399999999999881e-02 2.537800000000000125e-02 2.526400000000000173e-02
6.320000000000000000e+02 3.905799999999999828e-01 1.777199999999999891e-01 2.061999999999999944e-01 2.254899999999999960e-01 2.656700000000000034e-02 2.374300000000000022e-02 2.480699999999999919e-02 2.341299999999999978e-02
6.560000000000000000e+02 5.586299999999999599e-01 1.313499999999999945e-01 1.636700000000000099e-01 1.463500000000000079e-01 2.940800000000000011e-02 2.335800000000000029e-02 2.593900000000000025e-02 1.981499999999999928e-02
6.800000000000000000e+02 6.068200000000000260e-01 1.727200000000000124e-01 1.351300000000000001e-01 8.532399999999999707e-02 2.951399999999999857e-02 2.344299999999999856e-02 2.515200000000000075e-02 1.914700000000000082e-02
7.040000000000000000e+02 6.786200000000000010e-01 1.352299999999999891e-01 9.732899999999999885e-02 8.882099999999999718e-02 3.075800000000000062e-02 2.476499999999999882e-02 2.562499999999999847e-02 1.842500000000000041e-02
