# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
2.000000000000000000e+02 3.597800000000000303e-02 -3.517200000000000187e-02 -3.513800000000000257e-02 1.034299999999999997e+00 1.516600000000000066e-02 3.249400000000000205e-02 2.706300000000000025e-02 3.994899999999999840e-02
2.296699999999999875e+02 9.865599999999999925e-01 1.337400000000000047e-02 1.376600000000000046e-02 -1.370099999999999964e-02 3.847400000000000125e-02 2.783100000000000157e-02 3.150800000000000128e-02 1.547399999999999991e-02
2.593299999999999841e+02 1.031800000000000050e+00 -7.846599999999999409e-02 8.594600000000000850e-03 3.806500000000000161e-02 4.064899999999999763e-02 2.828500000000000111e-02 3.300899999999999668e-02 1.626199999999999868e-02
2.890000000000000000e+02 1.018499999999999961e+00 -3.745099999999999818e-02 2.599999999999999881e-02 -7.034399999999999681e-03 3.759200000000000041e-02 2.630299999999999999e-02 3.105499999999999927e-02 1.512200000000000003e-02
3.186700000000000159e+02 9.927700000000000413e-01 -3.263699999999999934e-02 2.897999999999999882e-02 1.088599999999999984e-02 3.800400000000000306e-02 2.688400000000000165e-02 3.179699999999999888e-02 1.597099999999999909e-02
3.483299999999999841e+02 7.951700000000000434e-01 1.091199999999999948e-01 1.213000000000000050e-01 -2.558600000000000110e-02 3.481599999999999973e-02 2.643399999999999916e-02 2.894000000000000045e-02 1.753800000000000150e-02
3.780000000000000000e+02 5.912199999999999678e-01 1.892199999999999993e-01 1.628999999999999893e-01 5.665599999999999803e-02 3.290300000000000169e-02 2.595199999999999937e-02 2.808899999999999939e-02 2.067799999999999847e-02
4.076700000000000159e+02 2.428599999999999925e-01 3.205899999999999861e-01 2.641899999999999804e-01 1.723600000000000132e-01 2.680199999999999944e-02 2.648700000000000013e-02 2.663199999999999942e-02 2.554400000000000073e-02
4.373299999999999841e+02 2.632900000000000240e-01 2.448200000000000098e-01 2.562699999999999978e-01 2.356199999999999961e-01 2.767999999999999974e-02 2.634299999999999836e-02 2.676399999999999960e-02 2.621599999999999972e-02
4.670000000000000000e+02 2.736299999999999844e-01 2.215999999999999914e-01 2.475700000000000123e-01 2.572099999999999942e-01 2.690100000000000130e-02 2.551399999999999849e-02 2.663899999999999949e-02 2.537299999999999972e-02
4.966700000000000159e+02 2.529500000000000082e-01 2.280000000000000082e-01 2.613199999999999967e-01 2.577300000000000146e-01 2.679300000000000084e-02 2.636600000000000055e-02 2.805799999999999961e-02 2.667500000000000079e-02
5.263300000000000409e+02 3.563799999999999746e-01 1.766900000000000137e-01 1.875600000000000045e-01 2.793800000000000172e-01 2.830500000000000030e-02 2.654300000000000062e-02 2.695699999999999832e-02 2.608600000000000155e-02
5.560000000000000000e+02 4.645699999999999830e-01 9.700500000000000789e-03 9.282799999999999385e-02 4.329000000000000070e-01 2.841399999999999829e-02 2.568499999999999950e-02 2.715700000000000058e-02 2.679799999999999890e-02
5.856699999999999591e+02 4.880999999999999783e-01 5.150899999999999923e-03 1.853399999999999839e-02 4.882099999999999773e-01 2.870199999999999835e-02 2.619499999999999953e-02 2.724599999999999939e-02 2.792899999999999897e-02
6.153300000000000409e+02 3.666599999999999859e-01 1.390099999999999947e-01 1.527399999999999869e-01 3.415900000000000047e-01 2.769699999999999940e-02 2.562899999999999900e-02 2.606699999999999989e-02 2.616699999999999929e-02
6.450000000000000000e+02 3.278200000000000003e-01 1.898400000000000087e-01 2.046699999999999908e-01 2.776699999999999724e-01 2.724800000000000139e-02 2.689799999999999830e-02 2.559499999999999970e-02 2.610399999999999873e-02
6.746699999999999591e+02 3.028100000000000236e-01 2.058999999999999997e-01 2.299299999999999955e-01 2.613599999999999812e-01 2.688899999999999971e-02 2.568799999999999903e-02 2.665999999999999967e-02 2.633999999999999883e-02
7.043300000000000409e+02 3.012299999999999978e-01 2.198400000000000076e-01 2.359199999999999908e-01 2.429999999999999938e-01 2.728799999999999976e-02 2.622499999999999831e-02 2.615900000000000170e-02 2.539399999999999991e-02
7.340000000000000000e+02 3.219299999999999939e-01 1.720899999999999930e-01 1.958600000000000063e-01 3.101300000000000168e-01 2.645799999999999888e-02 2.589599999999999888e-02 2.738099999999999909e-02 2.714599999999999999e-02
7.636699999999999591e+02 5.307800000000000296e-01 1.234600000000000003e-01 1.760899999999999965e-01 1.696699999999999875e-01 3.018600000000000103e-02 2.509099999999999872e-02 2.761500000000000066e-02 2.258200000000000138e-02
7.933300000000000409e+02 6.167300000000000004e-01 1.383699999999999930e-01 2.015099999999999947e-01 4.339500000000000302e-02 3.177399999999999669e-02 2.473600000000000104e-02 2.861400000000000055e-02 2.057499999999999954e-02
8.230000000000000000e+02 7.492400000000000171e-01 5.872399999999999842e-02 1.117299999999999960e-01 8.030400000000000038e-02 3.543099999999999722e-02 2.557900000000000104e-02 2.966399999999999940e-02 1.942599999999999882e-02
8.526699999999999591e+02 7.234699999999999465e-01 1.087000000000000050e-01 1.189700000000000063e-01 4.885899999999999965e-02 3.502000000000000252e-02 2.685699999999999893e-02 2.944300000000000042e-02 1.945900000000000060e-02
8.823300000000000409e+02 6.797699999999999854e-01 1.176100000000000062e-01 1.317800000000000082e-01 7.083799999999999819e-02 3.275299999999999739e-02 2.679099999999999884e-02 2.880599999999999827e-02 2.035500000000000156e-02
9.120000000000000000e+02 7.129900000000000126e-01 1.201699999999999990e-01 1.187900000000000067e-01 4.804400000000000337e-02 3.422300000000000342e-02 2.686200000000000046e-02 2.917799999999999908e-02 1.958599999999999924e-02
9.416699999999999591e+02 6.423999999999999710e-01 1.258299999999999974e-01 1.925800000000000012e-01 3.919000000000000261e-02 3.302900000000000280e-02 2.529500000000000151e-02 2.935600000000000015e-02 1.961800000000000002e-02
9.713300000000000409e+02 7.310499999999999776e-01 8.237999999999999490e-02 1.124799999999999967e-01 7.409000000000000308e-02 3.433800000000000047e-02 2.621700000000000072e-02 2.973599999999999854e-02 1.993999999999999939e-02
1.001000000000000000e+03 7.137700000000000156e-01 1.217400000000000010e-01 1.113900000000000029e-01 5.310600000000000043e-02 3.356499999999999762e-02 2.706799999999999831e-02 2.823499999999999968e-02 1.956099999999999853e-02
