# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
2.000000000000000000e+02 -3.710800000000000209e-03 2.990599999999999942e-03 3.620700000000000134e-03 9.970999999999999863e-01 1.655399999999999927e-02 3.543999999999999928e-02 2.666200000000000167e-02 4.150299999999999823e-02
2.246699999999999875e+02 1.000099999999999989e+00 -1.028400000000000061e-03 -2.597200000000000138e-04 1.170000000000000033e-03 4.189099999999999768e-02 2.653499999999999956e-02 3.712200000000000222e-02 1.702000000000000041e-02
2.493300000000000125e+02 9.743000000000000549e-01 2.100199999999999984e-02 1.652199999999999849e-02 -1.182599999999999971e-02 4.100600000000000078e-02 2.681599999999999956e-02 3.502199999999999758e-02 1.709199999999999955e-02
2.740000000000000000e+02 9.758599999999999497e-01 6.453799999999999988e-03 -8.952200000000000435e-03 2.664000000000000049e-02 3.982100000000000223e-02 2.618900000000000047e-02 3.486399999999999916e-02 1.800699999999999870e-02
2.986700000000000159e+02 1.009600000000000053e+00 1.565900000000000061e-03 -2.099300000000000124e-02 9.867499999999999535e-03 4.206399999999999723e-02 2.700100000000000069e-02 3.621599999999999819e-02 1.700700000000000128e-02
3.233299999999999841e+02 9.604300000000000059e-01 7.897100000000000647e-03 1.807999999999999885e-02 1.358999999999999965e-02 3.994500000000000134e-02 2.608500000000000055e-02 3.457600000000000257e-02 1.720199999999999854e-02
3.480000000000000000e+02 7.621799999999999686e-01 1.023000000000000020e-01 1.069399999999999934e-01 2.858700000000000130e-02 3.764399999999999691e-02 2.605800000000000130e-02 3.239899999999999725e-02 1.934599999999999861e-02
3.726700000000000159e+02 5.890900000000000025e-01 1.768099999999999949e-01 1.530700000000000116e-01 8.102800000000000280e-02 3.488800000000000234e-02 2.712900000000000034e-02 3.028199999999999989e-02 2.200300000000000172e-02
3.973299999999999841e+02 3.504099999999999993e-01 2.797499999999999987e-01 2.423800000000000121e-01 1.274599999999999900e-01 3.119600000000000151e-02 2.894800000000000151e-02 2.831699999999999842e-02 2.564900000000000166e-02
4.220000000000000000e+02 2.319700000000000095e-01 2.384999999999999898e-01 2.221499999999999864e-01 3.073899999999999966e-01 2.668600000000000139e-02 2.783300000000000010e-02 2.696899999999999992e-02 2.972199999999999842e-02
4.466700000000000159e+02 2.394900000000000084e-01 3.318900000000000183e-01 2.593500000000000250e-01 1.692700000000000038e-01 2.882099999999999940e-02 3.032800000000000079e-02 2.734200000000000172e-02 2.773300000000000071e-02
4.713299999999999841e+02 2.087499999999999911e-01 2.763200000000000101e-01 2.507900000000000129e-01 2.641399999999999859e-01 2.660399999999999918e-02 2.683800000000000074e-02 2.723300000000000026e-02 2.823200000000000015e-02
4.960000000000000000e+02 2.611100000000000088e-01 3.124600000000000155e-01 2.217399999999999927e-01 2.046900000000000108e-01 2.873500000000000013e-02 2.880500000000000074e-02 2.746499999999999983e-02 2.735299999999999884e-02
5.206699999999999591e+02 2.351800000000000002e-01 2.071600000000000108e-01 2.440700000000000092e-01 3.135800000000000254e-01 2.719099999999999989e-02 2.877100000000000143e-02 2.866000000000000145e-02 2.932200000000000084e-02
5.453300000000000409e+02 3.389400000000000190e-01 2.214500000000000079e-01 1.516099999999999948e-01 2.879999999999999782e-01 2.893599999999999992e-02 2.814799999999999941e-02 2.794299999999999909e-02 2.825199999999999934e-02
5.700000000000000000e+02 2.431300000000000128e-01 2.070500000000000118e-01 2.399999999999999911e-01 3.098199999999999843e-01 2.659600000000000158e-02 2.834100000000000161e-02 2.773799999999999877e-02 2.906900000000000109e-02
5.946699999999999591e+02 3.205299999999999816e-01 2.153500000000000136e-01 1.798599999999999921e-01 2.842600000000000127e-01 2.826000000000000040e-02 2.796099999999999974e-02 2.728900000000000076e-02 2.834800000000000167e-02
