# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
2.000000000000000000e+02 4.127000000000000113e-02 -4.161000000000000115e-02 -4.083799999999999930e-02 1.041199999999999903e+00 1.479300000000000059e-02 3.100699999999999984e-02 2.579899999999999902e-02 3.777400000000000202e-02
2.281699999999999875e+02 1.027900000000000036e+00 -2.801299999999999971e-02 -2.755499999999999963e-02 2.763099999999999931e-02 3.173299999999999732e-02 2.114900000000000113e-02 2.665899999999999867e-02 1.209099999999999932e-02
2.563299999999999841e+02 1.047600000000000087e+00 -2.055299999999999835e-02 -1.572399999999999839e-02 -1.131300000000000014e-02 3.288300000000000251e-02 2.157799999999999996e-02 2.714400000000000146e-02 9.972200000000000508e-03
2.845000000000000000e+02 1.082899999999999974e+00 -3.558599999999999958e-02 -5.068600000000000189e-02 3.342799999999999938e-03 3.440599999999999908e-02 2.183399999999999924e-02 2.807199999999999973e-02 1.061199999999999991e-02
3.126700000000000159e+02 1.038599999999999968e+00 -3.190400000000000180e-02 -1.532700000000000035e-02 8.676899999999999544e-03 3.422000000000000042e-02 2.216999999999999874e-02 2.825700000000000087e-02 1.077700000000000012e-02
3.408299999999999841e+02 9.433099999999999818e-01 2.458400000000000168e-02 6.759499999999999884e-03 2.534799999999999900e-02 3.107299999999999993e-02 2.132699999999999874e-02 2.679300000000000084e-02 1.330800000000000038e-02
3.690000000000000000e+02 6.652900000000000480e-01 1.523700000000000054e-01 1.381100000000000105e-01 4.423300000000000148e-02 2.950900000000000051e-02 2.195199999999999929e-02 2.516699999999999840e-02 1.641300000000000051e-02
3.971700000000000159e+02 3.547799999999999843e-01 2.589299999999999935e-01 2.341900000000000093e-01 1.521000000000000130e-01 2.648500000000000160e-02 2.448300000000000129e-02 2.357300000000000020e-02 2.155500000000000124e-02
4.253299999999999841e+02 2.114199999999999968e-01 2.177800000000000014e-01 1.970500000000000029e-01 3.737500000000000266e-01 2.295900000000000024e-02 2.462299999999999905e-02 2.446800000000000017e-02 2.586099999999999857e-02
4.535000000000000000e+02 1.245799999999999963e-01 4.221400000000000152e-01 9.821100000000000663e-02 3.550699999999999967e-01 2.180599999999999900e-02 2.740499999999999881e-02 2.056900000000000048e-02 2.661900000000000030e-02
4.816700000000000159e+02 4.032600000000000073e-02 4.351700000000000013e-01 2.516200000000000034e-02 4.993400000000000061e-01 1.912200000000000011e-02 2.982299999999999882e-02 2.016499999999999890e-02 3.043600000000000125e-02
5.098299999999999841e+02 -3.165599999999999664e-02 5.428800000000000292e-01 3.564400000000000207e-02 4.531299999999999772e-01 1.926299999999999887e-02 3.114799999999999860e-02 1.898700000000000040e-02 2.977000000000000132e-02
5.380000000000000000e+02 -1.479699999999999939e-02 4.843100000000000183e-01 1.681500000000000009e-02 5.136699999999999600e-01 1.834099999999999966e-02 3.060999999999999832e-02 2.083199999999999982e-02 3.194700000000000317e-02
5.661699999999999591e+02 6.907400000000000172e-04 4.791699999999999848e-01 -2.958099999999999966e-02 5.497199999999999864e-01 1.813700000000000034e-02 3.161599999999999827e-02 1.985900000000000165e-02 3.181400000000000200e-02
5.943300000000000409e+02 -2.219799999999999898e-02 4.715599999999999792e-01 5.930999999999999640e-03 5.446999999999999620e-01 1.877699999999999855e-02 3.113700000000000148e-02 1.966299999999999992e-02 3.075699999999999962e-02
6.225000000000000000e+02 -4.488599999999999708e-03 4.487599999999999922e-01 3.477399999999999849e-03 5.522500000000000187e-01 1.841100000000000028e-02 2.978700000000000098e-02 2.018100000000000102e-02 3.096300000000000094e-02
6.506699999999999591e+02 9.962399999999999728e-03 4.626199999999999757e-01 -1.552500000000000061e-02 5.429500000000000437e-01 1.833999999999999866e-02 3.048599999999999921e-02 1.985500000000000112e-02 3.060600000000000126e-02
6.788300000000000409e+02 1.497999999999999983e-03 4.889299999999999757e-01 2.932399999999999937e-02 4.802500000000000102e-01 1.973199999999999954e-02 3.127499999999999725e-02 1.986500000000000071e-02 3.153899999999999759e-02
7.070000000000000000e+02 9.795199999999999740e-02 3.996799999999999797e-01 8.155500000000000249e-02 4.208100000000000174e-01 2.085800000000000154e-02 2.906200000000000103e-02 1.935100000000000015e-02 2.823000000000000162e-02
7.351699999999999591e+02 1.345800000000000052e-01 3.035999999999999810e-01 2.083800000000000097e-01 3.534399999999999764e-01 2.106500000000000039e-02 2.596499999999999850e-02 2.274199999999999833e-02 2.754099999999999951e-02
7.633300000000000409e+02 2.064000000000000001e-01 2.343500000000000028e-01 3.218500000000000250e-01 2.373999999999999999e-01 2.302699999999999886e-02 2.307400000000000076e-02 2.419500000000000123e-02 2.388600000000000098e-02
7.915000000000000000e+02 1.946900000000000019e-01 1.084799999999999931e-01 5.081700000000000106e-01 1.886599999999999944e-01 2.574999999999999858e-02 1.992499999999999827e-02 2.894599999999999951e-02 2.250900000000000123e-02
8.196699999999999591e+02 1.934500000000000108e-01 8.569999999999999840e-02 6.284300000000000441e-01 9.242200000000000415e-02 2.599399999999999974e-02 1.772900000000000170e-02 3.019200000000000009e-02 2.085100000000000148e-02
8.478300000000000409e+02 1.237700000000000050e-01 6.887100000000000166e-02 7.231699999999999795e-01 8.418699999999999795e-02 2.693600000000000161e-02 1.652999999999999955e-02 2.986600000000000019e-02 2.146400000000000044e-02
8.760000000000000000e+02 2.041000000000000036e-01 2.203099999999999850e-02 6.626600000000000268e-01 1.112100000000000033e-01 2.739400000000000168e-02 1.607899999999999954e-02 3.134699999999999986e-02 2.103199999999999861e-02
9.041699999999999591e+02 1.336499999999999910e-01 2.479299999999999907e-02 7.574699999999999767e-01 8.408200000000000396e-02 2.790700000000000125e-02 1.608199999999999907e-02 3.106799999999999840e-02 2.163100000000000092e-02
9.323300000000000409e+02 1.523899999999999977e-01 3.294699999999999712e-02 7.573900000000000077e-01 5.727100000000000246e-02 2.816600000000000006e-02 1.561700000000000067e-02 3.202300000000000285e-02 2.122699999999999934e-02
9.605000000000000000e+02 1.655300000000000105e-01 5.189699999999999869e-02 7.444399999999999906e-01 3.813400000000000123e-02 2.756300000000000069e-02 1.514199999999999921e-02 3.093999999999999875e-02 1.984400000000000053e-02
9.886699999999999591e+02 2.081999999999999962e-01 1.344000000000000056e-02 7.054899999999999505e-01 7.286800000000000221e-02 2.825099999999999834e-02 1.615199999999999969e-02 3.129099999999999937e-02 2.075700000000000114e-02
1.016799999999999955e+03 1.002099999999999935e-01 4.389300000000000146e-02 7.954400000000000359e-01 6.045500000000000179e-02 2.741199999999999887e-02 1.542199999999999994e-02 3.114799999999999860e-02 2.175099999999999950e-02
