# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
2.000000000000000000e+02 1.392700000000000014e-02 -1.553200000000000067e-02 -1.512699999999999982e-02 1.016699999999999937e+00 1.649899999999999978e-02 3.400299999999999850e-02 2.647700000000000053e-02 3.895300000000000151e-02
2.296699999999999875e+02 9.717400000000000482e-01 2.889800000000000008e-02 2.914299999999999877e-02 -2.977899999999999991e-02 3.835299999999999820e-02 2.649999999999999925e-02 3.165599999999999664e-02 1.474299999999999916e-02
2.593299999999999841e+02 1.104899999999999993e+00 -3.829799999999999871e-02 -8.170099999999999585e-02 1.511400000000000070e-02 3.909699999999999981e-02 2.630000000000000046e-02 3.229900000000000132e-02 1.456099999999999929e-02
2.890000000000000000e+02 9.888200000000000323e-01 -3.675400000000000108e-03 2.192399999999999904e-02 -7.064599999999999873e-03 3.851799999999999669e-02 2.460100000000000134e-02 3.263100000000000028e-02 1.477200000000000041e-02
3.186700000000000159e+02 9.948900000000000521e-01 1.319200000000000060e-02 -1.371600000000000076e-02 5.629600000000000229e-03 3.890699999999999714e-02 2.576200000000000018e-02 3.222799999999999970e-02 1.573899999999999952e-02
3.483299999999999841e+02 8.557299999999999907e-01 6.321699999999999542e-02 2.968900000000000011e-02 5.136899999999999800e-02 3.680900000000000144e-02 2.597800000000000109e-02 3.070700000000000165e-02 1.810300000000000104e-02
3.780000000000000000e+02 5.310099999999999820e-01 1.951700000000000101e-01 2.187000000000000055e-01 5.512399999999999939e-02 3.140400000000000136e-02 2.593700000000000172e-02 2.808000000000000079e-02 2.087200000000000166e-02
4.076700000000000159e+02 3.066499999999999782e-01 2.765599999999999725e-01 2.009299999999999975e-01 2.158700000000000063e-01 2.718599999999999836e-02 2.716700000000000018e-02 2.485000000000000056e-02 2.544700000000000087e-02
4.373299999999999841e+02 2.477999999999999925e-01 2.119000000000000050e-01 2.640700000000000269e-01 2.762299999999999756e-01 2.634900000000000089e-02 2.653000000000000150e-02 2.656499999999999834e-02 2.726800000000000057e-02
4.670000000000000000e+02 2.626800000000000246e-01 1.811699999999999977e-01 2.581499999999999906e-01 2.979999999999999871e-01 2.577899999999999983e-02 2.625699999999999909e-02 2.633299999999999877e-02 2.700400000000000023e-02
4.966700000000000159e+02 2.627900000000000236e-01 2.277599999999999902e-01 2.451399999999999968e-01 2.643199999999999994e-01 2.713000000000000134e-02 2.701299999999999882e-02 2.675900000000000153e-02 2.738200000000000009e-02
5.263300000000000409e+02 2.285600000000000132e-01 2.644900000000000029e-01 2.577099999999999946e-01 2.492499999999999993e-01 2.615800000000000070e-02 2.727699999999999916e-02 2.629099999999999840e-02 2.735299999999999884e-02
5.560000000000000000e+02 2.056600000000000095e-01 3.102800000000000002e-01 2.856199999999999850e-01 1.984299999999999953e-01 2.681599999999999956e-02 2.739199999999999968e-02 2.651699999999999890e-02 2.617399999999999935e-02
5.856699999999999591e+02 2.299499999999999877e-01 2.858800000000000230e-01 2.221400000000000041e-01 2.620299999999999851e-01 2.668200000000000086e-02 2.794200000000000156e-02 2.527300000000000033e-02 2.705400000000000166e-02
6.153300000000000409e+02 2.382599999999999996e-01 2.920300000000000118e-01 2.290500000000000036e-01 2.406500000000000028e-01 2.674899999999999847e-02 2.860499999999999848e-02 2.616399999999999976e-02 2.700800000000000076e-02
6.450000000000000000e+02 2.554299999999999904e-01 2.415200000000000125e-01 1.876200000000000090e-01 3.154299999999999882e-01 2.571899999999999881e-02 2.684900000000000134e-02 2.555100000000000079e-02 2.774499999999999883e-02
6.746699999999999591e+02 2.122499999999999942e-01 1.863200000000000134e-01 2.304200000000000137e-01 3.709999999999999964e-01 2.531500000000000070e-02 2.769800000000000040e-02 2.743100000000000052e-02 2.993499999999999980e-02
7.043300000000000409e+02 2.458200000000000107e-01 2.329299999999999982e-01 2.288199999999999956e-01 2.924300000000000233e-01 2.564900000000000166e-02 2.638199999999999920e-02 2.615900000000000170e-02 2.666200000000000167e-02
7.340000000000000000e+02 2.416800000000000059e-01 2.057599999999999985e-01 2.269500000000000128e-01 3.256100000000000105e-01 2.636700000000000155e-02 2.722099999999999867e-02 2.629599999999999993e-02 2.766300000000000009e-02
7.636699999999999591e+02 2.006999999999999895e-01 1.469000000000000028e-01 3.924199999999999910e-01 2.599699999999999789e-01 2.725800000000000098e-02 2.464799999999999977e-02 2.974500000000000061e-02 2.766300000000000009e-02
7.933300000000000409e+02 1.214800000000000046e-01 6.529000000000000081e-02 5.904899999999999594e-01 2.227500000000000036e-01 2.880200000000000121e-02 2.122200000000000128e-02 3.329000000000000015e-02 2.652600000000000097e-02
