# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
2.000000000000000000e+02 1.346100000000000074e-02 -1.397699999999999984e-02 -1.391300000000000002e-02 1.014399999999999968e+00 1.350400000000000038e-02 2.699599999999999916e-02 2.624599999999999850e-02 3.518500000000000100e-02
2.281699999999999875e+02 1.015200000000000102e+00 -1.673699999999999841e-02 -1.510599999999999964e-02 1.666799999999999879e-02 3.311200000000000254e-02 2.310500000000000054e-02 2.730399999999999841e-02 1.256200000000000025e-02
2.563299999999999841e+02 1.072100000000000053e+00 -2.717599999999999877e-02 -6.166599999999999859e-02 1.671200000000000116e-02 3.463200000000000306e-02 2.370900000000000091e-02 2.829600000000000171e-02 1.205700000000000001e-02
2.845000000000000000e+02 1.037400000000000100e+00 -4.365299999999999736e-02 -1.827799999999999911e-02 2.453100000000000072e-02 3.280199999999999783e-02 2.298700000000000049e-02 2.604499999999999871e-02 1.261900000000000001e-02
3.126700000000000159e+02 1.018499999999999961e+00 -6.947700000000000230e-03 -3.165199999999999958e-02 2.007600000000000010e-02 3.443500000000000033e-02 2.293699999999999906e-02 2.748199999999999948e-02 1.213299999999999969e-02
3.408299999999999841e+02 9.034600000000000408e-01 4.818000000000000060e-02 3.984900000000000247e-02 8.505600000000000313e-03 3.277299999999999658e-02 2.340499999999999872e-02 2.718999999999999889e-02 1.284099999999999998e-02
3.690000000000000000e+02 6.243900000000000006e-01 1.887399999999999911e-01 1.701999999999999902e-01 1.667400000000000132e-02 2.954000000000000029e-02 2.380499999999999977e-02 2.484300000000000050e-02 1.671600000000000169e-02
3.971700000000000159e+02 4.336900000000000199e-01 1.969499999999999862e-01 1.903499999999999914e-01 1.790100000000000025e-01 2.680899999999999950e-02 2.300400000000000014e-02 2.357100000000000167e-02 2.123999999999999846e-02
4.253299999999999841e+02 2.820500000000000229e-01 1.736399999999999888e-01 3.021300000000000097e-01 2.421699999999999964e-01 2.409499999999999836e-02 2.202000000000000138e-02 2.549099999999999977e-02 2.338799999999999907e-02
4.535000000000000000e+02 4.756799999999999917e-01 1.166200000000000014e-01 2.981699999999999906e-01 1.095300000000000024e-01 2.718999999999999889e-02 2.093700000000000075e-02 2.511800000000000144e-02 1.956899999999999959e-02
4.816700000000000159e+02 4.449799999999999867e-01 6.548199999999999854e-02 4.459299999999999931e-01 4.360599999999999893e-02 2.811900000000000163e-02 1.866400000000000003e-02 2.890300000000000161e-02 1.808099999999999985e-02
5.098299999999999841e+02 4.782699999999999729e-01 1.472799999999999977e-02 4.544500000000000206e-01 5.254999999999999949e-02 2.724299999999999986e-02 1.745800000000000129e-02 2.747099999999999889e-02 1.803400000000000142e-02
5.380000000000000000e+02 4.534599999999999742e-01 2.793299999999999950e-02 4.971400000000000263e-01 2.146999999999999950e-02 2.723400000000000126e-02 1.718099999999999836e-02 2.799000000000000099e-02 1.754700000000000010e-02
5.661699999999999591e+02 4.220300000000000162e-01 3.415100000000000080e-02 5.374100000000000543e-01 6.412400000000000391e-03 2.927099999999999841e-02 1.780500000000000138e-02 2.978599999999999998e-02 1.786000000000000087e-02
5.943300000000000409e+02 4.566200000000000259e-01 4.593200000000000061e-02 4.802299999999999902e-01 1.722200000000000120e-02 2.788200000000000053e-02 1.788299999999999959e-02 2.875899999999999984e-02 1.807200000000000126e-02
