# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
2.000000000000000000e+02 2.904800000000000090e-02 -2.954299999999999982e-02 -2.939699999999999952e-02 1.029900000000000038e+00 1.541599999999999915e-02 3.196600000000000136e-02 2.671000000000000110e-02 3.814100000000000129e-02
2.296699999999999875e+02 1.025600000000000067e+00 -2.544300000000000034e-02 -2.578099999999999836e-02 2.567200000000000037e-02 3.721900000000000208e-02 2.485499999999999862e-02 3.138699999999999823e-02 1.451299999999999986e-02
2.593299999999999841e+02 9.447600000000000442e-01 3.429900000000000310e-02 3.681199999999999750e-02 -1.586600000000000163e-02 3.645500000000000129e-02 2.523399999999999949e-02 2.916900000000000048e-02 1.421099999999999967e-02
2.890000000000000000e+02 1.020000000000000018e+00 6.162400000000000169e-03 -3.011600000000000041e-02 3.944900000000000316e-03 3.691699999999999843e-02 2.588700000000000029e-02 2.958600000000000119e-02 1.405700000000000005e-02
3.186700000000000159e+02 9.716200000000000392e-01 2.398799999999999977e-03 1.595699999999999896e-02 1.002600000000000019e-02 3.586600000000000205e-02 2.378299999999999859e-02 2.986499999999999919e-02 1.457499999999999941e-02
3.483299999999999841e+02 8.200100000000000167e-01 1.031600000000000017e-01 4.854699999999999988e-02 2.828500000000000111e-02 3.357799999999999674e-02 2.474799999999999917e-02 2.830900000000000083e-02 1.696399999999999991e-02
3.780000000000000000e+02 5.388100000000000112e-01 2.148200000000000109e-01 1.471800000000000053e-01 9.919899999999999551e-02 2.986300000000000066e-02 2.617500000000000035e-02 2.571499999999999828e-02 2.079599999999999851e-02
4.076700000000000159e+02 2.869200000000000084e-01 2.294200000000000128e-01 2.298900000000000110e-01 2.537699999999999956e-01 2.551900000000000002e-02 2.511100000000000138e-02 2.598900000000000168e-02 2.520400000000000071e-02
4.373299999999999841e+02 2.658200000000000007e-01 2.641800000000000259e-01 2.212800000000000045e-01 2.487099999999999866e-01 2.506500000000000047e-02 2.619000000000000147e-02 2.564500000000000113e-02 2.588100000000000123e-02
4.670000000000000000e+02 2.680400000000000005e-01 2.498799999999999910e-01 2.710099999999999731e-01 2.110700000000000076e-01 2.604499999999999871e-02 2.554899999999999879e-02 2.605700000000000030e-02 2.561499999999999888e-02
4.966700000000000159e+02 2.478400000000000047e-01 2.412400000000000100e-01 2.630600000000000160e-01 2.478599999999999970e-01 2.654700000000000115e-02 2.665700000000000014e-02 2.516600000000000087e-02 2.627000000000000168e-02
5.263300000000000409e+02 2.429300000000000070e-01 2.969499999999999917e-01 2.724500000000000255e-01 1.876599999999999935e-01 2.612099999999999839e-02 2.627699999999999828e-02 2.556699999999999945e-02 2.506800000000000000e-02
5.560000000000000000e+02 5.908800000000000163e-02 4.323199999999999821e-01 4.369100000000000206e-01 7.168700000000000072e-02 2.485199999999999909e-02 2.658500000000000099e-02 2.727800000000000016e-02 2.549500000000000030e-02
5.856699999999999591e+02 -1.428899999999999962e-02 4.903899999999999926e-01 4.430899999999999839e-01 8.080400000000000083e-02 2.473900000000000057e-02 2.826700000000000046e-02 2.681700000000000056e-02 2.606400000000000036e-02
6.153300000000000409e+02 1.465500000000000136e-01 3.405199999999999894e-01 2.946699999999999875e-01 2.182499999999999996e-01 2.473099999999999951e-02 2.570800000000000168e-02 2.469000000000000014e-02 2.556800000000000045e-02
6.450000000000000000e+02 1.474600000000000077e-01 2.939899999999999736e-01 3.306100000000000150e-01 2.279500000000000137e-01 2.537800000000000125e-02 2.529199999999999851e-02 2.780399999999999885e-02 2.625900000000000109e-02
6.746699999999999591e+02 1.643699999999999883e-01 2.396000000000000074e-01 2.773399999999999754e-01 3.186899999999999733e-01 2.464699999999999877e-02 2.625800000000000009e-02 2.632400000000000018e-02 2.668600000000000139e-02
7.043300000000000409e+02 1.230099999999999943e-01 3.396100000000000230e-01 3.066900000000000182e-01 2.306900000000000062e-01 2.441799999999999873e-02 2.610900000000000026e-02 2.444299999999999945e-02 2.587100000000000163e-02
7.340000000000000000e+02 1.641100000000000059e-01 2.803399999999999781e-01 2.400400000000000034e-01 3.155100000000000127e-01 2.450600000000000001e-02 2.714499999999999899e-02 2.588899999999999882e-02 2.836400000000000032e-02
7.636699999999999591e+02 8.317700000000000093e-02 2.050899999999999945e-01 1.366199999999999914e-01 5.751100000000000101e-01 2.015799999999999884e-02 2.834599999999999967e-02 2.523399999999999949e-02 3.191000000000000086e-02
7.933300000000000409e+02 1.195099999999999982e-02 1.637299999999999867e-01 1.548700000000000077e-01 6.694499999999999895e-01 1.906400000000000108e-02 2.841899999999999982e-02 2.560399999999999829e-02 3.326899999999999996e-02
8.230000000000000000e+02 4.956599999999999895e-02 9.275100000000000011e-02 4.967699999999999894e-02 8.080100000000000060e-01 1.751399999999999832e-02 3.096099999999999894e-02 2.536700000000000066e-02 3.687000000000000000e-02
8.526699999999999591e+02 4.734499999999999820e-02 7.889899999999999691e-02 5.542099999999999804e-02 8.183300000000000018e-01 1.752599999999999991e-02 2.991200000000000109e-02 2.444400000000000045e-02 3.581000000000000155e-02
8.823300000000000409e+02 3.847899999999999932e-02 7.382400000000000073e-02 6.918000000000000538e-02 8.185200000000000253e-01 1.779999999999999985e-02 2.985399999999999859e-02 2.595700000000000091e-02 3.564200000000000007e-02
9.120000000000000000e+02 1.723799999999999985e-02 1.424100000000000088e-01 6.261500000000000399e-02 7.777300000000000324e-01 1.728599999999999928e-02 3.018200000000000049e-02 2.513900000000000162e-02 3.471699999999999786e-02
9.416699999999999591e+02 3.985699999999999660e-02 6.590200000000000224e-02 1.255600000000000049e-01 7.686800000000000299e-01 1.778800000000000173e-02 2.883700000000000152e-02 2.627399999999999874e-02 3.487300000000000122e-02
9.713300000000000409e+02 4.878899999999999904e-02 7.412399999999999545e-02 8.134800000000000364e-02 7.957400000000000029e-01 1.853499999999999939e-02 3.018200000000000049e-02 2.612099999999999839e-02 3.496900000000000008e-02
1.001000000000000000e+03 6.852300000000000058e-02 1.830800000000000136e-02 8.900299999999999878e-02 8.241699999999999582e-01 1.747900000000000148e-02 2.824899999999999980e-02 2.517000000000000140e-02 3.417099999999999999e-02
1.030700000000000045e+03 6.166900000000000159e-02 9.173099999999999310e-02 4.881499999999999728e-02 7.977899999999999991e-01 1.813599999999999934e-02 3.000799999999999995e-02 2.504199999999999829e-02 3.469400000000000261e-02
1.060299999999999955e+03 7.627799999999999858e-02 6.474899999999999579e-03 2.576099999999999918e-02 8.914900000000000047e-01 1.817500000000000018e-02 2.952600000000000016e-02 2.717200000000000171e-02 3.642200000000000298e-02
